1. Artículo;Año de Publicación;Periodo de Recolección de Datos;2. País en donde se realizó el estudio;3. Origen de los datos;4. Tamaño de la muestra;5. Causa de la deserción (o variable objetivo declarada);6. Variables Predictoras: Dimensiones_Predominantes;7. Variables Predictoras: Mejores Variables;8. Modelos de Aprendizaje Automático: Algoritmos_Evaluados;9. Modelos de Aprendizaje Automático: Mejor_Algoritmo;10. Métricas y Validación: Metricas_Reportadas;11. Métricas y Validación: Valor_Mejor_Metrica;12. Métricas y Validación: Tratamiento_Desbalanceo
ART111_SCP.pdf;2023;2013–2019.;México;Registros Académicos (SIS);10934;Late dropout;ACAD-PERF;Duration_subjects, Duration_MFP, Extensions;Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL), Regresión Logística (LR);Random Forest (RF);Accuracy, F1-Score, Precision, Recall/Sensitivity;Recall/Sensitivity: 0.75;SMOTE / Oversampling
ART115_SCP.pdf;2023;No reportado explícitamente.;Brasil;Registros Académicos (SIS);No reportado;Student attrition;ACAD-PERF;Academic and nonacademic features;No reportado;No reportado;F1-Score, Recall/Sensitivity;Recall/Sensitivity: 91.67%;Ninguno reportado
ART119_SCP.pdf;2021;No reportado explícitamente.;Perú;Registros Académicos (SIS);No reportado;Rendimiento académico en matemáticas;SOCECO-EDU;School management, socioeconomic status, internet access, interannual dropout rate;Gradient Boosting (XGBoost/LightGBM);Gradient Boosting (XGBoost/LightGBM);No reportado;No reportado;Ninguno reportado
ART11_SCP.pdf;2023;2013–2021.;Brasil;Registros Académicos (SIS);1496;Riesgo de deserción;ACAD-PERF;Grades of the first two months, absence percentage;Decision Trees (DT), K-Nearest Neighbors (KNN), Regresión Logística (LR);K-Nearest Neighbors (KNN);Accuracy;Accuracy: No reportado;Ninguno reportado
ART12_SCP.pdf;2022;No reportado explícitamente (Año de publicación: 2022).;Perú;Registros Académicos (SIS);1861;Deserción estudiantil;ACAD-PERF;PromMat, Nnotamatuno, Number of tutorials carried out, Number of credits approved;Decision Trees (DT), Ensambles Híbridos, Redes Neuronales/Deep Learning (ANN/DL);Ensambles Híbridos;Accuracy;Accuracy: No reportado;Ninguno reportado
ART13_SCP.pdf;2025;No reportado explícitamente (Año de publicación: 2024/2025).;Colombia;Registros Académicos (SIS);64800;Deserción estudiantil;ACAD-PERF;internet_device, status, num_enrolled_subjects;Decision Trees (DT), Ensambles Híbridos, Gradient Boosting (XGBoost/LightGBM), K-Nearest Neighbors (KNN), Naive Bayes (NB), Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL), Regresión Logística (LR), Support Vector Machines (SVM);Ensambles Híbridos;Accuracy;Accuracy: 0.80;Ninguno reportado
ART143_SCP.pdf;2023;No reportado explícitamente (Año de publicación: 2023).;Perú;Registros Académicos (SIS);2638;Deserción estudiantil;DEMO-GEO;Especialidad, Sexo, Nacionalidad, Departamento de Nacimiento, Tipo de colegio;Redes Neuronales/Deep Learning (ANN/DL);Redes Neuronales/Deep Learning (ANN/DL);Accuracy;Accuracy: 66.30%;Ninguno reportado
ART144_SCP.pdf;2024;No reportado explícitamente.;Argentina;Encuestas socioeconómicas;No reportado;Deserción estudiantil y rendimiento;PSICO;Cognitive factors, sociodemographic data, psychological data;Redes Neuronales/Deep Learning (ANN/DL);Redes Neuronales/Deep Learning (ANN/DL);No reportado;No reportado;Ninguno reportado
ART147_SCP.pdf;2024;No reportado explícitamente (Año de publicación: 2024).;México;Registros Académicos (SIS);53639;Retención y Graduación;ACAD-PRE;Average grade of previous high school, entry score;K-Nearest Neighbors (KNN);K-Nearest Neighbors (KNN);No reportado;No reportado;Ninguno reportado
ART155_SCP.pdf;2025;No reportado explícitamente (Año de publicación: 2025).;Colombia;Registros Académicos (SIS);2234;Deserción y graduación;ACAD-PERF;Tasas de reprobación, cuellos de botella en semestres iniciales;No reportado;No reportado;No reportado;No reportado;Ninguno reportado
ART157_SCP.pdf;2021;No reportado explícitamente.;Colombia;Plataformas LMS (Moodle/Blackboard);1232;Rendimiento académico;ACAD-BEHAV;Virtual platform interactions (Moodle);No reportado;No reportado;No reportado;No reportado;Ninguno reportado
ART18_SCP.pdf;2020;No reportado explícitamente.;Colombia;Registros Académicos (SIS);1571;Rendimiento académico;ACAD-PRE;Edad, genero, puntaje ICFES aptitud matemática, valor de matrícula;Decision Trees (DT), K-Nearest Neighbors (KNN), Redes Neuronales/Deep Learning (ANN/DL), Support Vector Machines (SVM);Redes Neuronales/Deep Learning (ANN/DL);Accuracy, F1-Score, Precision, Recall/Sensitivity;Accuracy: 0.664;Ninguno reportado
ART19_SCP.pdf;2023;No reportado explícitamente (Año de publicación: 2023).;España;Registros Académicos (SIS);No reportado;Rendimiento académico;ACAD-PERF;Theoretical classes, practical classes, online sessions, final exams;No reportado;No reportado;No reportado;No reportado;Ninguno reportado
ART23_SCP.pdf;2020;No reportado explícitamente.;Ecuador;Registros Académicos (SIS);No reportado;Deserción estudiantil;ACAD-PERF;Number of times course taken, GPA, credits of course;No reportado;No reportado;No reportado;No reportado;Ninguno reportado
